unit	serial	lineage	resources	bytes	sha256
live/artifacts/images	383	875964a0-97ae-289e-595d-03c1538d5ac5	1	1844	3ac802c8076bcebedd1dd7751ec57fde0cadf2bbfb7c8056a2b0c0a325bdfd9a
live/artifacts/registry	176	c7d7e18d-3f23-2e50-c270-8c935124a7ff	3	9118	d3b836edbc183e72a3f3062a1418d19cf28b071e23479e7c7b147afe5bf9cadc
live/artifacts/schematic	3	4ea36775-c5cd-db1c-9ac5-92bbe7e4e243	1	1196	8da954c74352db57544dbb1c006cd0a69c561e779135574002e3d0ef6dbc98c3
live/baremetal/pxe	4	f9a88ed0-753e-ed2b-6dff-f91c046a322c	5	5917	ffee49a98a5803aa917b15d031a1e3845fe9d7abb40c99664a20a4f8d681a210
live/cloud/openbao-kms	3	525a722a-3064-9bd6-87b6-fe5ec1ae0358	7	6627	0e77faaac9d48618b3b144a0e4fbb470f42a3c642ba1374cfe5bcd92f9e6fe2c
live/clusters/cluster-101/apply	79	b7dac57c-6a5a-aa55-74af-70d904eff440	2	316362	c6e1c3579bdf09869635e5d766be6640099d4ef548bd9afbe2d356d8c9a87941
live/clusters/cluster-101/bootstrap	68	fb1b568c-0dbf-d4ba-376a-932d2f5a03bb	6	15239	d9e79ee62235fd349ef520da37ca89db8556f9c08249051eff465a5d15bc3866
live/clusters/cluster-101/cilium-bootstrap	33	5e21e5a0-def4-4c60-d041-2e8b55b5978c	1	945	a2d7560c61d6ed2b2dcac4b92e363e214ab8f52c3b79d10185517764ba4f3e16
live/clusters/cluster-101/compute	89	f2e823bd-cb25-264e-316e-31f5cef55c5a	11	82071	50693624bb2046ffb6605169b543d57bcea0afdfe0212519dbddbe84d19fe3b8
live/clusters/cluster-101/config	73	df05b55e-ae21-2681-9dd5-387a5518f119	7	576792	f13617da4044e735136a872d2697d05d3368a045b051d5eb308a865d40a83102
live/clusters/cluster-101/flux	106	63361904-da2e-deb6-a721-94b4f1528ca6	15	14913	eab30412cf1e8217d20d39542d0f72a47471cc92ea870e270c58ea5f6731e34a
live/clusters/cluster-101/secrets	60	dd0fc33e-f1da-ea0d-e005-04782d387c55	1	32553	f9c20921cd81509c3bd29e9e4238b3b534ef359cfe4641d6b04946ae605be5fa
live/clusters/cluster-104/apply	6	0a7d496f-3e03-486b-f3cf-c421f99055d0	2	51053	a31ddeaaa33358fd351b1f00a453d9d5b14fd3b89924291bb7bfa3ebd08649c8
live/clusters/cluster-104/bootstrap	4	316e0f56-81b6-5c94-6c9d-4f4e19ba3c3c	6	15467	6a3ad7541131c2ad6ea8e7c51d71e01abce945bc1c8e613562770a3a8e3fe927
live/clusters/cluster-104/cilium-bootstrap	5	f4d94778-02de-6d0e-ca03-4cb25df20831	1	1053	5449a94309e24c28d39518c789481935353a644ab0d646dd638fa71425cfa95d
